                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 2.2866,                 1.1457,                 1.7326,                0.67562,                0.90677,                0.74786,                0.52683,                 2.1879,                  1.899,                 1.7684,              0.0010894,              0.0010894,              0.0010894
                    107,                  2.166,                 1.1191,                 1.7186,                0.71046,                0.87852,                0.74612,                 0.5239,                 2.2682,                 1.8555,                 1.7875,              0.0010839,              0.0010839,              0.0010839
                    108,                  2.277,                 1.1681,                  1.723,                0.72375,                0.87093,                0.76415,                0.52097,                 2.3707,                 2.0087,                 1.8016,              0.0010784,              0.0010784,              0.0010784
                    109,                 2.3573,                 1.1928,                 1.7126,                0.72375,                0.87093,                0.76415,                0.52097,                 2.3707,                 2.0087,                 1.8016,              0.0010729,              0.0010729,              0.0010729
                    110,                 2.2317,                 1.1259,                 1.7267,                0.72935,                0.87996,                0.76928,                0.53644,                 2.2987,                 2.1828,                 1.7915,              0.0010674,              0.0010674,              0.0010674
                    111,                 2.1857,                 1.1353,                 1.7081,                0.71711,                0.88463,                0.79751,                0.54756,                 2.3754,                 1.9808,                 1.8104,              0.0010619,              0.0010619,              0.0010619
                    112,                 2.3007,                 1.1042,                 1.7071,                0.71711,                0.88463,                0.79751,                0.54756,                 2.3754,                 1.9808,                 1.8104,              0.0010564,              0.0010564,              0.0010564
                    113,                 2.2759,                 1.1012,                 1.7017,                0.71244,                0.92637,                0.80452,                0.54526,                 2.3806,                 1.8191,                 1.8131,              0.0010509,              0.0010509,              0.0010509
                    114,                 2.2583,                  1.113,                 1.7027,                0.71244,                0.92637,                0.80452,                0.54526,                 2.3806,                 1.8191,                 1.8131,              0.0010454,              0.0010454,              0.0010454
                    115,                 2.2885,                 1.0794,                 1.7209,                0.71831,                0.91441,                0.80085,                0.54449,                 2.3874,                 1.8382,                 1.8133,              0.0010399,              0.0010399,              0.0010399
                    116,                 2.2084,                 1.0943,                  1.709,                0.70211,                0.92135,                0.79732,                0.55319,                 2.3009,                  1.875,                 1.8009,              0.0010344,              0.0010344,              0.0010344
                    117,                 2.3857,                 1.1408,                 1.7072,                0.70211,                0.92135,                0.79732,                0.55319,                 2.3009,                  1.875,                 1.8009,              0.0010289,              0.0010289,              0.0010289
                    118,                 2.3007,                 1.0957,                 1.7206,                0.69916,                0.92706,                0.78696,                 0.5339,                 2.3214,                 1.8973,                 1.7987,              0.0010234,              0.0010234,              0.0010234
                    119,                 2.3375,                  1.103,                 1.7187,                 0.6988,                0.92383,                0.78877,                0.54504,                 2.2811,                 1.9445,                 1.7937,              0.0010179,              0.0010179,              0.0010179
                    120,                 2.2862,                 1.1424,                 1.7277,                 0.6988,                0.92383,                0.78877,                0.54504,                 2.2811,                 1.9445,                 1.7937,              0.0010124,              0.0010124,              0.0010124
                    121,                 2.2956,                 1.0521,                 1.7181,                0.69335,                0.93789,                0.79084,                0.54429,                 2.3734,                 1.9598,                 1.8044,              0.0010069,              0.0010069,              0.0010069
                    122,                  2.306,                 1.0517,                 1.7281,                0.69335,                0.93789,                0.79084,                0.54429,                 2.3734,                 1.9598,                 1.8044,              0.0010014,              0.0010014,              0.0010014
                    123,                 2.3623,                 1.1774,                 1.7298,                0.70458,                0.93749,                0.78117,                0.53607,                 2.3718,                  1.844,                 1.8055,             0.00099587,             0.00099587,             0.00099587
