                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.71161,                0.38227,                0.86759,                 0.8386,                 0.8796,                0.86388,                0.58565,                 1.1654,                0.63352,                 1.0322,             0.00090235,             0.00090235,             0.00090235
                    141,                0.72575,                0.40299,                0.87382,                 0.8386,                 0.8796,                0.86388,                0.58565,                 1.1654,                0.63352,                 1.0322,             0.00089685,             0.00089685,             0.00089685
                    142,                0.71979,                0.38013,                0.88048,                 0.8386,                 0.8796,                0.86388,                0.58565,                 1.1654,                0.63352,                 1.0322,             0.00089134,             0.00089134,             0.00089134
                    143,                0.71886,                0.40342,                0.87354,                0.82993,                0.87929,                0.87678,                0.57645,                 1.2145,                0.65819,                 1.0557,             0.00088584,             0.00088584,             0.00088584
                    144,                0.69078,                0.38622,                0.86648,                0.82993,                0.87929,                0.87678,                0.57645,                 1.2145,                0.65819,                 1.0557,             0.00088034,             0.00088034,             0.00088034
                    145,                0.66444,                0.37334,                0.86637,                0.82401,                0.87023,                0.89158,                0.59499,                 1.1773,                0.63369,                  1.051,             0.00087484,             0.00087484,             0.00087484
                    146,                0.70528,                 0.3869,                0.86744,                0.82401,                0.87023,                0.89158,                0.59499,                 1.1773,                0.63369,                  1.051,             0.00086934,             0.00086934,             0.00086934
                    147,                0.66123,                0.37618,                0.85907,                0.82401,                0.87023,                0.89158,                0.59499,                 1.1773,                0.63369,                  1.051,             0.00086384,             0.00086384,             0.00086384
                    148,                0.68083,                0.37252,                0.86733,                0.83686,                0.87487,                0.89805,                0.59184,                 1.1733,                0.60566,                 1.0568,             0.00085834,             0.00085834,             0.00085834
                    149,                0.70619,                0.38691,                0.89379,                0.83686,                0.87487,                0.89805,                0.59184,                 1.1733,                0.60566,                 1.0568,             0.00085284,             0.00085284,             0.00085284
                    150,                0.66273,                0.37709,                0.86178,                0.83686,                0.87487,                0.89805,                0.59184,                 1.1733,                0.60566,                 1.0568,             0.00084734,             0.00084734,             0.00084734
                    151,                0.67005,                0.35552,                0.87326,                0.83908,                0.90513,                0.89988,                0.58523,                 1.2135,                0.63343,                 1.0815,             0.00084184,             0.00084184,             0.00084184
